Player,Pos,Tm,G,MP,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%
Tim Quarterman\quartti01,SG,POR,16,80,.511,.448,.103,5.5,13.9,9.7,21.1,1.2,3.0,26.6,22.8
Chasson Randle\randlch01,PG,TOT,26,299,.586,.480,.439,2.2,9.4,5.8,16.8,1.5,0.5,14.0,19.7
Julius Randle\randlju01,PF,LAL,74,2132,.543,.082,.365,7.5,25.8,16.3,19.3,1.1,1.4,16.2,21.4
Zach Randolph\randoza01,PF,MEM,73,1786,.490,.098,.200,11.3,27.4,19.1,13.5,1.1,0.5,8.6,29.2
J.J. Redick\redicjj01,SG,LAC,78,2198,.599,.526,.227,0.6,7.9,4.3,7.8,1.3,0.5,9.1,21.9
Willie Reed\reedwi02,C,MIA,71,1031,.578,.014,.309,13.7,22.0,17.8,3.9,0.9,3.6,8.7,15.3
Josh Richardson\richajo01,SG,MIA,53,1614,.493,.442,.150,2.4,9.2,5.8,12.7,1.9,1.9,10.6,16.8
Malachi Richardson\richama01,SG,SAC,22,198,.517,.412,.279,1.8,11.5,6.7,8.7,1.3,0.5,9.5,19.3
Austin Rivers\riverau01,SG,LAC,74,2054,.545,.409,.261,1.1,7.5,4.4,15.0,1.2,0.4,12.4,20.3
Andre Roberson\roberan03,SF,OKC,79,2376,.510,.397,.240,4.6,14.2,9.4,4.6,1.9,2.7,9.1,10.1
Brian Roberts\roberbr01,PG,CHO,41,416,.510,.361,.320,1.3,9.0,5.2,18.7,1.1,0.2,15.7,17.9
Glenn Robinson\robingl02,SF,IND,69,1426,.564,.370,.225,4.5,14.6,9.6,4.7,1.4,1.2,9.1,12.8
Thomas Robinson\robinth01,PF,LAL,48,560,.535,.005,.337,15.8,28.1,21.8,8.8,2.3,1.3,17.0,20.7
Sergio Rodriguez\rodrise01,PG,PHI,68,1518,.484,.470,.050,1.5,9.9,5.7,35.4,1.5,0.2,18.9,19.3
Rajon Rondo\rondora01,PG,CHI,69,1843,.461,.237,.089,4.2,16.6,10.4,37.0,2.7,0.5,22.4,17.8
Derrick Rose\rosede01,PG,NYK,64,2082,.530,.061,.259,3.4,9.3,6.4,22.8,1.1,0.7,11.9,25.7
Terrence Ross\rosste01,SF,TOT,78,1955,.550,.524,.103,1.0,10.9,5.9,7.1,2.3,1.4,8.0,19.3
Terry Rozier\roziete01,PG,BOS,74,1263,.466,.436,.161,3.6,16.3,10.0,15.2,1.8,0.7,9.7,17.1
Ricky Rubio\rubiori01,PG,MIN,75,2469,.539,.302,.438,3.2,11.4,7.2,38.9,2.6,0.3,20.1,17.4
Damjan Rudez\rudezda01,SF,ORL,45,314,.466,.727,.000,1.7,7.1,4.3,9.2,1.9,0.3,9.3,13.6
Brandon Rush\rushbr01,SG,MIN,47,1030,.505,.610,.096,1.8,9.5,5.6,5.8,1.1,1.9,12.6,9.6
D'Angelo Russell\russeda01,PG,LAL,63,1811,.518,.443,.217,1.8,11.9,6.7,26.8,2.3,0.7,15.6,26.6
Domantas Sabonis\sabondo01,PF,OKC,81,1632,.469,.331,.139,3.0,16.4,9.7,7.2,1.2,1.6,14.0,15.4
